Project	GitHub Link	Creation Date	Pushed Date	Forks Number	Files Number
WebServer	https://github.com/linyacool/WebServer.git	02/02/2018	11/17/2022	1825	19
libco	https://github.com/Tencent/libco.git	10/12/2016	11/21/2022	1965	12
xlearn	https://github.com/aksnzhy/xlearn.git	06/10/2017	8/23/2022	539	115
mergerfs	https://github.com/trapexit/mergerfs.git	3/24/2014	01/03/2023	137	156
OpenCC	https://github.com/BYVoid/OpenCC.git	7/15/2010	12/29/2022	898	32
libfm	https://github.com/srendle/libfm.git	9/15/2014	3/28/2020	417	3
cxxopts	https://github.com/jarro2783/cxxopts.git	10/03/2014	12/14/2022	507	5
hnswlib	https://github.com/nmslib/hnswlib.git	07/06/2017	12/18/2022	422	4
rpi-rgb-led-matrix	https://github.com/hzeller/rpi-rgb-led-matrix.git	2/16/2013	11/28/2022	994	21
coost	https://github.com/idealvin/coost.git	11/10/2019	01/02/2023	482	41
rpclib	https://github.com/rpclib/rpclib.git	11/23/2015	11/22/2022	344	13
magic	https://github.com/Neargye/magic_enum.git	3/30/2019	12/29/2022	317	7
matrix	https://github.com/Tencent/matrix.git	12/11/2018	11/25/2022	1694	8
UDPspeeder	https://github.com/wangyu-/UDPspeeder.git	08/08/2017	8/21/2022	789	14
FTXUI	https://github.com/ArthurSonzogni/FTXUI.git	1/27/2019	01/02/2023	263	136
enkiTS	https://github.com/dougbinks/enkiTS.git	2/20/2015	12/14/2022	114	23
json	https://github.com/nlohmann/json.git	07/04/2013	01/03/2023	5715	83
flatbuffers	https://github.com/google/flatbuffers.git	5/19/2014	01/03/2023	2982	53
C-Plus-Plus	https://github.com/TheAlgorithms/C-Plus-Plus.git	7/16/2016	01/02/2023	6069	267
spdlog	https://github.com/gabime/spdlog.git	11/01/2014	12/31/2022	3511	8
muduo	https://github.com/chenshuo/muduo.git	05/05/2010	12/05/2022	4839	37
duckdb	https://github.com/duckdb/duckdb.git	6/26/2018	01/03/2023	742	275
re2	https://github.com/google/re2.git	8/18/2014	12/21/2022	1067	53
git-crypt	https://github.com/AGWA/git-crypt.git	12/19/2012	12/22/2022	419	11
yoga	https://github.com/facebook/yoga.git	04/07/2014	01/03/2023	1348	11
sentencepiece	https://github.com/google/sentencepiece.git	03/07/2017	12/12/2022	859	105
LeetCode	https://github.com/wisdompeak/LeetCode.git	03/01/2017	12/31/2022	1021	10
handy	https://github.com/yedf2/handy.git	08/02/2014	5/23/2022	1321	15
design-patterns-cpp	https://github.com/JakubVojvoda/design-patterns-cpp.git	09/04/2016	11/13/2021	821	24
zopfli	https://github.com/google/zopfli.git	03/09/2015	8/26/2022	321	17
pugixml	https://github.com/zeux/pugixml.git	07/06/2012	12/03/2022	641	1
Dobby	https://github.com/jmpews/Dobby.git	08/03/2017	01/02/2023	649	63
PacVim	https://github.com/jmoon018/PacVim.git	11/22/2014	11/18/2021	193	5
SEAL	https://github.com/microsoft/SEAL.git	11/09/2018	12/28/2022	585	83
backward-cpp	https://github.com/bombela/backward-cpp.git	2/17/2013	12/30/2022	392	7
gperftools	https://github.com/gperftools/gperftools.git	1/28/2014	12/26/2022	1399	143
ChaiScript	https://github.com/ChaiScript/ChaiScript.git	01/06/2011	11/03/2022	328	16
hardware-effects	https://github.com/Kobzol/hardware-effects.git	11/10/2018	12/11/2020	134	18
2048	https://github.com/plibither8/2048.cpp.git	04/02/2018	6/24/2022	305	18
kfr	https://github.com/kfrlib/kfr.git	6/29/2016	12/27/2022	218	2
marl	https://github.com/google/marl.git	09/03/2019	11/14/2022	139	20
openal-soft	https://github.com/kcat/openal-soft.git	8/24/2014	01/03/2023	435	94
BlingFire	https://github.com/microsoft/BlingFire.git	3/13/2019	12/20/2022	110	322
PEGTL	https://github.com/taocpp/PEGTL.git	12/23/2014	12/09/2022	202	167
