Project	Files With Smells	Total Code Smells	Total Types of Code Smells	Modularization	Encapsulation	Abstraction	Hierarchy	Lazy Class	Swiss Army Knife	Data Class	Complex Class	Refused Bequest	Spaghetti Code	Large Class	Class Data Should Be Private	God Class	Speculative Generality	Brain Class	Imperative Abstraction	Multifaceted Abstraction	Unnecessary Abstraction	Unutilized Abstraction	Deficient Encapsulation	Unexploited Encapsulation	Broken Modularization	Insufficient Modularization	Hub Like Modularization	Dispersed Coupling	Intensive Coupling	Long Method	Brain Method	Long Parameter List	Message Chain	Shotgun Surgery	Abstract Function Call From Constructor	Complex Conditional	Complex Method	Empty Catch Clause	Long Identifier	Long Statement	Magic Number	Missing Default
WebServer	13	160	18	6	8	146	0	14	0	0	1	0	15	9	4	0	0	0	0	4	12	49	4	0	0	4	0	2	0	7	0	1	0	0	0	0	2	0	2	10	19	1
libco	6	180	8	3	68	109	0	0	0	0	0	0	0	4	34	0	0	0	0	0	34	49	34	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	19	0
xlearn	19	173	11	0	2	168	3	13	0	0	0	0	0	3	1	0	3	0	0	0	0	72	1	0	0	0	0	0	0	27	0	0	0	0	0	0	2	0	2	22	27	0
mergerfs	82	199	14	3	44	152	0	10	0	0	0	0	3	5	22	0	0	0	0	1	5	35	22	0	2	0	0	0	1	3	0	1	0	0	0	0	0	0	0	7	82	0
OpenCC	10	29	8	1	8	20	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	6	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	7	0
libfm	2	179	21	11	46	121	1	8	0	0	7	1	6	1	22	0	0	0	0	0	0	16	22	2	0	3	0	7	1	25	0	8	0	2	9	2	9	0	4	21	3	0
cxxopts	1	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hnswlib	3	7	3	0	0	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
rpi-rgb-led-matrix	10	234	22	5	14	211	4	12	0	0	4	0	11	2	7	0	4	0	0	0	4	57	7	0	1	1	0	1	2	17	0	34	0	0	1	7	6	0	1	29	19	7
coost	16	287	18	25	82	179	1	18	0	0	2	0	14	6	34	0	1	0	0	0	15	48	34	14	0	1	0	24	0	24	0	7	0	0	0	3	4	0	0	22	16	0
rpclib	5	35	10	0	4	31	0	0	0	0	0	0	2	1	2	0	0	0	0	0	1	14	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	6	4	0
magic	4	26	3	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
matrix	6	27	11	1	1	25	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	6	0	1	0	0	0	0	1	0	0	3	0	0	0	3	2	0	0	5	2	0
