Smell;Origin Tool;Type;Rule;Description
ImperativeAbstraction;DesigniteJava;Abstraction;NOPM != 1 or E[method].LOC(method)>LargeLOC;This smell arises when an operation is turned into a class.
MultifacetedAbstraction;DesigniteJava;Abstraction;LCOM > LargeLCOM and NOF > ManyFields and NOM > ManyMethods;This smell arises when an abstraction has more than one responsibility assigned to it.
UnnecessaryAbstraction;DesigniteJava;Abstraction;NOM = 0 and NOF <= FewFields;This smell occurs when an abstraction that is actually not needed (and thus could have been avoided) gets introduced in a software design.
UnutilizedAbstraction;DesigniteJava;Abstraction;(hasSuperTypes and not hasSuperTypesWithFanIn) or not hasFanIn;This smell arises when an abstraction is left unused (either not directly used or not reachable).
DeficientEncapsulation;DesigniteJava;Encapsulation;NOPF>0;This smell arises when the number of public fields is higher than 0
UnexploitedEncapsulation;DesigniteJava;Encapsulation;E(method1.instantiated(type1), method1.instantiated(type2)): type1 != type2 and sameHierarchy(class(type1),class(type2);This smell arises when there are two different classes that are instantiated in a method but they belong to the same hierarchy, i.e., one extends the other.
BrokenModularization;DesigniteJava;Modularization;NOM = 0 AND NOF > LargeNOF;This smell arises when data and/or methods that ideally should have been localized into a single abstraction are separated and spread across multiple abstractions.
InsufficientModularization;DesigniteJava;Modularization;NOPM >= LargeNOPM OR NOM >= LargeNOM OR WPC >= HighComplexity;This smell arises when an abstraction exists that has not been completely decomposed, and a further decomposition could reduce its size, implementation complexity, or both.
HubLikeModularization;DesigniteJava;Modularization;FANIN >= Large AND FANOUT >= Large;This smell arises when an abstraction has dependencies (both incoming and outgoing) with a large number of other abstractions.
Abstract Function Call From Constructor;DesigniteJava;Abstraction;M is constructor AND M calls at least one Abstract(method);This smell arises when the constructor of a class calls an abstract function
Complex Conditional;DesigniteJava;Abstraction;M has at least one if-else IE where: #(Expression(IE)) >= 3;This smell arises when a piece of code has a complex conditional statement, such as multiple nested if-else statements or large numbers of conditions that are hard to understand.
Complex Method;DesigniteJava;Abstraction;CC >= 8;This smell arises when a method contains too many lines of code or too many branches of logic, making it difficult to understand and maintain.
Empty catch clause;DesigniteJava;Abstraction;M has at least one catch block that is empty;This smell arises when a catch block is present but doesn't contain any code, this is also known as a catch-all.
Long Identifier;DesigniteJava;Abstraction;LengthName(Parameter(M)) >= 30 OR LengthName(LocalVariable(M)) >= 30 OR Length(AccessedField(M)) >= 30;This smell arises when identifiers such as variable, function, or class names are too long and make the code hard to read and understand.
Long Method;DesigniteJava;Abstraction;LOC(M) >= 100 OR MLOC > AVG(MLOC) AND MLOC > 30;This smell arises when a method becomes too long and complex, making it difficult to understand and maintain.
